i,m,t,value
4,25,8,20
4,25,9,35
4,25,10,33
4,25,11,41
4,26,0,41
4,26,1,63
4,26,2,58
4,26,3,32
4,26,4,41
4,26,5,49
4,26,6,31
4,26,7,23
4,26,8,36
4,26,9,32
4,26,10,24
4,26,11,42
4,27,0,16
4,27,1,51
4,27,2,47
4,27,3,51
4,27,4,42
4,27,5,25
4,27,6,28
4,27,7,53
4,27,8,30
4,27,9,50
4,27,10,42
4,27,11,43
4,28,0,66
4,28,1,33
4,28,2,18
4,28,3,30
4,28,4,33
4,28,5,63
4,28,6,34
4,28,7,42
4,28,8,30
4,28,9,48
4,28,10,35
4,28,11,33
4,29,0,43
4,29,1,30
4,29,2,44
4,29,3,25
4,29,4,23
4,29,5,32
4,29,6,51
4,29,7,57
4,29,8,20
4,29,9,40
4,29,10,49
4,29,11,51
5,0,0,53
5,0,1,36
5,0,2,37
5,0,3,45
5,0,4,24
5,0,5,65
5,0,6,32
5,0,7,31
5,0,8,25
5,0,9,27
5,0,10,51
5,0,11,46
5,1,0,32
5,1,1,39
5,1,2,34
5,1,3,31
5,1,4,26
5,1,5,26
5,1,6,40
5,1,7,37
5,1,8,39
5,1,9,60
5,1,10,50
5,1,11,37
5,2,0,36
5,2,1,85
5,2,2,28
5,2,3,32
5,2,4,45
5,2,5,50
5,2,6,25
5,2,7,24
5,2,8,8
5,2,9,32
5,2,10,20
5,2,11,29
5,3,0,22
5,3,1,37
5,3,2,26
5,3,3,40
5,3,4,45
5,3,5,30
5,3,6,17
5,3,7,58
5,3,8,41
5,3,9,54
5,3,10,27
5,3,11,31
5,4,0,29
5,4,1,38
5,4,2,46
5,4,3,24
5,4,4,38
5,4,5,54
5,4,6,61
5,4,7,48
5,4,8,36
5,4,9,38
5,4,10,46
5,4,11,54
5,5,0,28
5,5,1,48
5,5,2,24
5,5,3,63
5,5,4,49
5,5,5,55
5,5,6,30
5,5,7,39
5,5,8,34
5,5,9,18
5,5,10,35
5,5,11,29
5,6,0,48
5,6,1,40
5,6,2,32
5,6,3,25
5,6,4,41
5,6,5,62
5,6,6,27
5,6,7,51
5,6,8,21
5,6,9,27
5,6,10,19
5,6,11,56
5,7,0,46
5,7,1,33
5,7,2,43
5,7,3,31
5,7,4,24
5,7,5,65
5,7,6,27
5,7,7,20
5,7,8,46
5,7,9,41
5,7,10,40
5,7,11,22
5,8,0,29
5,8,1,30
5,8,2,62
5,8,3,38
5,8,4,19
5,8,5,33
5,8,6,46
5,8,7,45
5,8,8,38
5,8,9,19
5,8,10,38
5,8,11,49
5,9,0,37
5,9,1,16
5,9,2,27
5,9,3,46
5,9,4,34
5,9,5,54
5,9,6,25
5,9,7,32
5,9,8,51
5,9,9,27
5,9,10,52
5,9,11,27
5,10,0,45
5,10,1,54
5,10,2,23
5,10,3,42
5,10,4,41
5,10,5,18
5,10,6,35
5,10,7,38
5,10,8,36
5,10,9,30
5,10,10,17
5,10,11,34
5,11,0,33
5,11,1,53
5,11,2,41
5,11,3,41
5,11,4,33
5,11,5,28
5,11,6,47
5,11,7,41
5,11,8,50
5,11,9,43
5,11,10,51
5,11,11,31
5,12,0,25
5,12,1,31
5,12,2,19
5,12,3,33
5,12,4,42
5,12,5,43
5,12,6,38
5,12,7,16
5,12,8,79
5,12,9,42
5,12,10,35
5,12,11,40
5,13,0,21
5,13,1,42
5,13,2,24
5,13,3,41
5,13,4,35
5,13,5,47
5,13,6,36
5,13,7,46
5,13,8,24
5,13,9,44
5,13,10,35
5,13,11,27
5,14,0,53
5,14,1,48
5,14,2,31
5,14,3,36
5,14,4,35
5,14,5,45
5,14,6,28
5,14,7,49
5,14,8,47
5,14,9,38
5,14,10,22
5,14,11,53
5,15,0,47
5,15,1,26
5,15,2,53
5,15,3,12
5,15,4,42
5,15,5,37
5,15,6,19
5,15,7,32
5,15,8,30
5,15,9,34
5,15,10,41
5,15,11,33
5,16,0,53
5,16,1,48
5,16,2,24
5,16,3,15
5,16,4,47
5,16,5,38
5,16,6,34
5,16,7,40
5,16,8,17
5,16,9,20
5,16,10,45
5,16,11,40
5,17,0,31
5,17,1,49
5,17,2,35
5,17,3,45
5,17,4,32
5,17,5,32
5,17,6,32
5,17,7,19
5,17,8,47
5,17,9,47
5,17,10,28
5,17,11,33
5,18,0,28
5,18,1,47
5,18,2,26
5,18,3,20
5,18,4,49
5,18,5,41
5,18,6,33
5,18,7,33
5,18,8,39
5,18,9,35
5,18,10,24
5,18,11,41
5,19,0,43
5,19,1,36
5,19,2,26
5,19,3,11
5,19,4,25
5,19,5,36
5,19,6,34
5,19,7,45
5,19,8,25
5,19,9,25
5,19,10,57
5,19,11,36
5,20,0,57
5,20,1,40
5,20,2,32
5,20,3,34
5,20,4,20
5,20,5,45
5,20,6,43
5,20,7,55
5,20,8,40
5,20,9,49
5,20,10,45
5,20,11,56
5,21,0,33
5,21,1,18
5,21,2,37
5,21,3,33
5,21,4,42
5,21,5,35
5,21,6,40
5,21,7,35
5,21,8,45
5,21,9,45
5,21,10,21
5,21,11,29
5,22,0,13
5,22,1,45
5,22,2,39
5,22,3,23
5,22,4,29
5,22,5,56
5,22,6,38
5,22,7,47
5,22,8,11
5,22,9,55
5,22,10,48
5,22,11,18
5,23,0,46
5,23,1,50
5,23,2,47
5,23,3,50
5,23,4,32
5,23,5,39
5,23,6,29
5,23,7,42
5,23,8,44
5,23,9,31
5,23,10,19
5,23,11,36
5,24,0,34
5,24,1,34
5,24,2,28
5,24,3,34
5,24,4,36
5,24,5,27
5,24,6,36
5,24,7,28
5,24,8,37
5,24,9,24
5,24,10,54
5,24,11,35
5,25,0,44
5,25,1,40
5,25,2,79
5,25,3,35
5,25,4,53
5,25,5,21
5,25,6,33
5,25,7,41
5,25,8,17
5,25,9,57
5,25,10,43
5,25,11,53
5,26,0,29
5,26,1,43
5,26,2,39
5,26,3,41
5,26,4,27
5,26,5,42
5,26,6,27
5,26,7,33
5,26,8,27
5,26,9,43
5,26,10,35
5,26,11,53
5,27,0,24
5,27,1,42
5,27,2,53
5,27,3,44
5,27,4,39
5,27,5,38
5,27,6,38
5,27,7,30
5,27,8,33
5,27,9,51
5,27,10,31
5,27,11,28
5,28,0,27
5,28,1,39
5,28,2,44
5,28,3,29
5,28,4,30
5,28,5,38
5,28,6,45
5,28,7,38
5,28,8,36
5,28,9,33
5,28,10,33
5,28,11,39
5,29,0,25
5,29,1,39
5,29,2,31
5,29,3,30
5,29,4,39
5,29,5,25
5,29,6,36
5,29,7,32
5,29,8,45
5,29,9,18
5,29,10,26
5,29,11,35
6,0,0,21
6,0,1,58
6,0,2,54
6,0,3,9
6,0,4,42
6,0,5,32
6,0,6,16
6,0,7,31
6,0,8,54
6,0,9,26
6,0,10,26
6,0,11,27
6,1,0,47
6,1,1,45
6,1,2,40
6,1,3,40
6,1,4,13
6,1,5,20
6,1,6,44
6,1,7,28
6,1,8,37
6,1,9,43
6,1,10,42
6,1,11,42
6,2,0,49
6,2,1,51
6,2,2,47
6,2,3,16
6,2,4,29
6,2,5,42
6,2,6,32
6,2,7,65
6,2,8,53
6,2,9,56
6,2,10,26
6,2,11,34
6,3,0,61
6,3,1,46
6,3,2,38
6,3,3,50
6,3,4,27
6,3,5,43
6,3,6,36
6,3,7,33
6,3,8,34
6,3,9,32
6,3,10,39
6,3,11,19
6,4,0,20
6,4,1,54
6,4,2,34
6,4,3,25
6,4,4,24
6,4,5,35
6,4,6,24
6,4,7,47
6,4,8,46
6,4,9,37
6,4,10,45
6,4,11,45
6,5,0,51
6,5,1,50
6,5,2,41
6,5,3,60
6,5,4,39
6,5,5,27
6,5,6,29
6,5,7,31
6,5,8,49
6,5,9,55
6,5,10,52
6,5,11,30
6,6,0,22
6,6,1,26
6,6,2,31
6,6,3,25
6,6,4,21
6,6,5,35
6,6,6,24
6,6,7,38
6,6,8,50
6,6,9,40
6,6,10,34
6,6,11,47
6,7,0,27
6,7,1,28
6,7,2,39
6,7,3,17
6,7,4,37
6,7,5,36
6,7,6,38
6,7,7,46
6,7,8,22
6,7,9,50
6,7,10,34
6,7,11,34
6,8,0,40
6,8,1,32
6,8,2,66
6,8,3,31
6,8,4,65
6,8,5,46
6,8,6,28
6,8,7,44
6,8,8,35
6,8,9,33
6,8,10,45
6,8,11,40
6,9,0,37
6,9,1,43
6,9,2,44
6,9,3,22
6,9,4,46
6,9,5,48
6,9,6,25
6,9,7,69
6,9,8,31
6,9,9,33
6,9,10,29
6,9,11,38
6,10,0,20
6,10,1,31
6,10,2,46
6,10,3,44
6,10,4,49
6,10,5,56
6,10,6,48
6,10,7,37
6,10,8,41
6,10,9,30
6,10,10,41
6,10,11,41
6,11,0,34
6,11,1,40
6,11,2,17
6,11,3,45
6,11,4,37
6,11,5,15
6,11,6,48
6,11,7,36
6,11,8,43
6,11,9,42
6,11,10,17
6,11,11,20
6,12,0,30
6,12,1,29
6,12,2,30
6,12,3,19
6,12,4,49
6,12,5,29
6,12,6,43
6,12,7,30
6,12,8,33
6,12,9,28
6,12,10,37
6,12,11,24
6,13,0,11
6,13,1,28
6,13,2,28
6,13,3,18
6,13,4,25
6,13,5,54
6,13,6,43
6,13,7,25
6,13,8,38
6,13,9,42
6,13,10,25
6,13,11,47
6,14,0,45
6,14,1,27
6,14,2,32
6,14,3,31
6,14,4,31
6,14,5,15
6,14,6,52
6,14,7,45
6,14,8,18
6,14,9,42
6,14,10,21
6,14,11,44
6,15,0,44
6,15,1,31
6,15,2,40
6,15,3,12
6,15,4,25
6,15,5,36
6,15,6,58
6,15,7,38
6,15,8,40
6,15,9,36
6,15,10,29
6,15,11,38
6,16,0,37
6,16,1,36
6,16,2,30
6,16,3,34
6,16,4,26
6,16,5,67
6,16,6,35
6,16,7,39
6,16,8,18
6,16,9,21
6,16,10,18
6,16,11,44
6,17,0,37
6,17,1,42
6,17,2,28
6,17,3,56
6,17,4,50
6,17,5,19
6,17,6,38
6,17,7,38
6,17,8,21
6,17,9,64
6,17,10,15
6,17,11,53
6,18,0,30
6,18,1,37
6,18,2,31
6,18,3,33
6,18,4,39
6,18,5,25
6,18,6,27
6,18,7,26
6,18,8,30
6,18,9,31
6,18,10,35
6,18,11,36
6,19,0,21
6,19,1,41
6,19,2,58
6,19,3,45
6,19,4,43
6,19,5,23
6,19,6,25
6,19,7,31
6,19,8,38
6,19,9,38
6,19,10,45
6,19,11,48
6,20,0,42
6,20,1,35
6,20,2,31
6,20,3,30
6,20,4,13
6,20,5,39
6,20,6,31
6,20,7,42
6,20,8,30
6,20,9,31
6,20,10,29
6,20,11,56
6,21,0,33
6,21,1,27
6,21,2,16
6,21,3,28
6,21,4,27
6,21,5,30
6,21,6,12
6,21,7,31
6,21,8,33
6,21,9,28
6,21,10,30
6,21,11,38
6,22,0,39
6,22,1,26
6,22,2,19
6,22,3,25
6,22,4,55
6,22,5,39
6,22,6,35
6,22,7,22
6,22,8,30
6,22,9,36
6,22,10,42
6,22,11,34
6,23,0,48
6,23,1,41
6,23,2,48
6,23,3,26
6,23,4,16
6,23,5,32
6,23,6,22
6,23,7,24
6,23,8,43
6,23,9,22
6,23,10,39
6,23,11,27
6,24,0,48
6,24,1,42
6,24,2,55
6,24,3,27
6,24,4,37
6,24,5,46
6,24,6,39
6,24,7,22
6,24,8,33
6,24,9,22
6,24,10,21
6,24,11,20
6,25,0,16
6,25,1,35
6,25,2,48
6,25,3,39
6,25,4,26
6,25,5,41
6,25,6,39
6,25,7,42
6,25,8,43
6,25,9,41
6,25,10,41
6,25,11,33
6,26,0,36
6,26,1,50
6,26,2,44
6,26,3,16
6,26,4,29
6,26,5,26
6,26,6,20
6,26,7,53
6,26,8,38
6,26,9,39
6,26,10,51
6,26,11,24
6,27,0,56
6,27,1,24
6,27,2,48
6,27,3,36
6,27,4,55
6,27,5,47
6,27,6,48
6,27,7,42
6,27,8,34
6,27,9,29
6,27,10,46
6,27,11,25
6,28,0,60
6,28,1,46
6,28,2,40
6,28,3,34
6,28,4,42
6,28,5,29
6,28,6,30
6,28,7,33
6,28,8,71
6,28,9,48
6,28,10,35
6,28,11,43
6,29,0,57
6,29,1,42
6,29,2,44
6,29,3,53
6,29,4,15
6,29,5,36
6,29,6,31
6,29,7,22
6,29,8,46
6,29,9,56
6,29,10,41
6,29,11,30
7,0,0,23
7,0,1,39
7,0,2,45
7,0,3,66
7,0,4,40
7,0,5,22
7,0,6,35
7,0,7,33
7,0,8,50
7,0,9,54
7,0,10,28
7,0,11,26
7,1,0,52
7,1,1,43
7,1,2,27
7,1,3,43
7,1,4,33
7,1,5,29
7,1,6,44
7,1,7,26
7,1,8,47
7,1,9,38
7,1,10,34
7,1,11,60
7,2,0,59
7,2,1,57
7,2,2,28
7,2,3,49
7,2,4,38
7,2,5,29
7,2,6,31
7,2,7,33
7,2,8,44
7,2,9,14
7,2,10,40
7,2,11,56
7,3,0,11
7,3,1,41
7,3,2,44
7,3,3,21
7,3,4,36
7,3,5,45
7,3,6,30
7,3,7,42
7,3,8,32
7,3,9,42
7,3,10,28
7,3,11,32
7,4,0,28
7,4,1,23
7,4,2,51
7,4,3,50
7,4,4,50
7,4,5,38
7,4,6,12
7,4,7,31
7,4,8,21
7,4,9,26
7,4,10,28
7,4,11,27
7,5,0,53
7,5,1,47
7,5,2,26
7,5,3,40
7,5,4,24
7,5,5,45
7,5,6,46
7,5,7,45
7,5,8,30
7,5,9,59
7,5,10,63
7,5,11,39
7,6,0,54
7,6,1,18
7,6,2,47
7,6,3,23
7,6,4,32
7,6,5,45
7,6,6,29
7,6,7,29
7,6,8,25
7,6,9,30
7,6,10,59
7,6,11,38
7,7,0,49
7,7,1,28
7,7,2,56
7,7,3,41
7,7,4,18
7,7,5,42
7,7,6,33
7,7,7,41
7,7,8,28
7,7,9,35
7,7,10,26
7,7,11,51
7,8,0,27
7,8,1,32
7,8,2,30
7,8,3,46
7,8,4,29
7,8,5,37
7,8,6,29
7,8,7,47
7,8,8,29
7,8,9,51
7,8,10,33
7,8,11,20
7,9,0,27
7,9,1,44
7,9,2,36
7,9,3,70
7,9,4,30
7,9,5,58
7,9,6,55
7,9,7,43
7,9,8,44
7,9,9,48
7,9,10,44
7,9,11,21
7,10,0,30
7,10,1,28
7,10,2,28
7,10,3,35
7,10,4,38
7,10,5,30
7,10,6,39
7,10,7,43
7,10,8,36
7,10,9,50
7,10,10,28
7,10,11,48
7,11,0,47
7,11,1,24
7,11,2,42
7,11,3,32
7,11,4,19
7,11,5,22
7,11,6,45
7,11,7,28
7,11,8,34
7,11,9,40
7,11,10,39
7,11,11,27
7,12,0,28
7,12,1,34
7,12,2,43
7,12,3,52
7,12,4,35
7,12,5,28
7,12,6,32
7,12,7,34
7,12,8,29
7,12,9,47
7,12,10,43
7,12,11,23
7,13,0,36
7,13,1,31
7,13,2,33
7,13,3,36
7,13,4,26
7,13,5,22
7,13,6,45
7,13,7,47
7,13,8,61
7,13,9,58
7,13,10,49
7,13,11,29
7,14,0,69
7,14,1,35
7,14,2,36
7,14,3,47
7,14,4,32
7,14,5,45
7,14,6,66
7,14,7,35
7,14,8,24
7,14,9,52
7,14,10,36
7,14,11,36
7,15,0,40
7,15,1,41
7,15,2,40
7,15,3,30
7,15,4,28
7,15,5,45
7,15,6,37
7,15,7,44
7,15,8,32
7,15,9,27
7,15,10,42
7,15,11,51
7,16,0,26
7,16,1,40
7,16,2,29
7,16,3,45
7,16,4,39
7,16,5,22
7,16,6,40
7,16,7,62
7,16,8,23
7,16,9,38
7,16,10,42
7,16,11,50
7,17,0,34
7,17,1,28
7,17,2,65
7,17,3,42
7,17,4,23
7,17,5,25
7,17,6,31
7,17,7,26
7,17,8,64
7,17,9,31
7,17,10,50
7,17,11,33
7,18,0,22
7,18,1,51
7,18,2,51
7,18,3,19
7,18,4,42
7,18,5,39
7,18,6,37
7,18,7,36
7,18,8,22
7,18,9,42
7,18,10,40
7,18,11,29
7,19,0,52
7,19,1,33
7,19,2,19
7,19,3,37
7,19,4,34
7,19,5,32
7,19,6,22
7,19,7,36
7,19,8,43
7,19,9,25
7,19,10,49
7,19,11,34
7,20,0,45
7,20,1,24
7,20,2,25
7,20,3,40
7,20,4,51
7,20,5,42
7,20,6,33
7,20,7,44
7,20,8,28
7,20,9,17
7,20,10,29
7,20,11,40
7,21,0,57
7,21,1,20
7,21,2,39
7,21,3,50
7,21,4,29
7,21,5,22
7,21,6,47
7,21,7,22
7,21,8,25
7,21,9,55
7,21,10,31
7,21,11,48
7,22,0,27
7,22,1,24
7,22,2,39
7,22,3,42
7,22,4,18
7,22,5,43
7,22,6,36
7,22,7,67
7,22,8,46
7,22,9,20
7,22,10,30
7,22,11,80
7,23,0,23
7,23,1,45
7,23,2,54
7,23,3,16
7,23,4,57
7,23,5,38
7,23,6,32
7,23,7,36
7,23,8,48
7,23,9,41
7,23,10,30
7,23,11,32
7,24,0,30
7,24,1,22
7,24,2,41
7,24,3,41
7,24,4,43
7,24,5,13
7,24,6,47
7,24,7,24
7,24,8,27
7,24,9,61
7,24,10,39
7,24,11,22
7,25,0,28
7,25,1,48
7,25,2,17
7,25,3,32
7,25,4,31
7,25,5,38
7,25,6,23
7,25,7,18
7,25,8,18
7,25,9,19
7,25,10,32
7,25,11,47
7,26,0,26
7,26,1,26
7,26,2,36
7,26,3,44
7,26,4,45
7,26,5,31
7,26,6,23
7,26,7,44
7,26,8,74
7,26,9,21
7,26,10,14
7,26,11,30
7,27,0,39
7,27,1,52
7,27,2,31
7,27,3,38
7,27,4,17
7,27,5,54
7,27,6,45
7,27,7,41
7,27,8,21
7,27,9,32
7,27,10,40
7,27,11,38
7,28,0,51
7,28,1,46
7,28,2,54
7,28,3,19
7,28,4,35
7,28,5,35
7,28,6,50
7,28,7,29
7,28,8,15
7,28,9,39
7,28,10,64
7,28,11,28
7,29,0,41
7,29,1,34
7,29,2,55
7,29,3,27
7,29,4,40
7,29,5,38
7,29,6,29
7,29,7,40
7,29,8,40
7,29,9,29
7,29,10,49
7,29,11,28
8,0,0,31
8,0,1,43
8,0,2,46
8,0,3,42
8,0,4,27
8,0,5,40
8,0,6,40
8,0,7,29
8,0,8,25
8,0,9,48
8,0,10,39
8,0,11,18
8,1,0,25
8,1,1,64
8,1,2,56
8,1,3,28
8,1,4,25
8,1,5,57
8,1,6,47
8,1,7,37
8,1,8,31
8,1,9,47
8,1,10,39
8,1,11,40
8,2,0,44
8,2,1,22
8,2,2,26
8,2,3,50
8,2,4,46
8,2,5,49
8,2,6,23
8,2,7,36
8,2,8,11
8,2,9,35
8,2,10,20
8,2,11,39
8,3,0,58
8,3,1,24
8,3,2,17
8,3,3,40
8,3,4,32
8,3,5,42
8,3,6,21
8,3,7,36
8,3,8,39
8,3,9,24
8,3,10,53
8,3,11,40
8,4,0,35
8,4,1,48
8,4,2,33
8,4,3,52
8,4,4,59
8,4,5,24
8,4,6,34
8,4,7,55
8,4,8,27
8,4,9,41
8,4,10,39
8,4,11,43
8,5,0,27
8,5,1,20
8,5,2,28
8,5,3,41
8,5,4,26
8,5,5,40
8,5,6,52
8,5,7,32
8,5,8,23
8,5,9,32
8,5,10,31
8,5,11,46
8,6,0,35
8,6,1,45
8,6,2,43
8,6,3,33
8,6,4,34
8,6,5,61
8,6,6,27
8,6,7,28
8,6,8,27
8,6,9,49
8,6,10,33
8,6,11,34
8,7,0,27
8,7,1,44
8,7,2,38
8,7,3,15
8,7,4,41
8,7,5,32
8,7,6,50
8,7,7,44
8,7,8,37
8,7,9,44
8,7,10,59
8,7,11,60
8,8,0,25
8,8,1,49
8,8,2,28
8,8,3,29
8,8,4,26
8,8,5,28
8,8,6,60
8,8,7,59
8,8,8,20
8,8,9,33
8,8,10,47
8,8,11,34
8,9,0,70
8,9,1,25
8,9,2,39
8,9,3,62
8,9,4,35
8,9,5,37
8,9,6,34
8,9,7,48
8,9,8,73
8,9,9,39
8,9,10,47
8,9,11,32
8,10,0,36
8,10,1,51
8,10,2,56
8,10,3,53
8,10,4,51
8,10,5,46
8,10,6,17
8,10,7,50
8,10,8,25
8,10,9,59
8,10,10,53
8,10,11,44
8,11,0,35
8,11,1,37
8,11,2,28
8,11,3,34
8,11,4,40
8,11,5,31
8,11,6,26
8,11,7,26
8,11,8,41
8,11,9,42
8,11,10,25
8,11,11,40
8,12,0,33
8,12,1,36
8,12,2,31
8,12,3,55
8,12,4,55
8,12,5,52
8,12,6,20
8,12,7,59
8,12,8,31
8,12,9,34
8,12,10,50
8,12,11,38
8,13,0,39
8,13,1,63
8,13,2,33
8,13,3,26
8,13,4,39
8,13,5,30
8,13,6,57
8,13,7,43
8,13,8,33
8,13,9,46
8,13,10,28
8,13,11,40
8,14,0,41
8,14,1,39
8,14,2,32
8,14,3,20
8,14,4,45
8,14,5,50
8,14,6,49
8,14,7,38
8,14,8,44
8,14,9,48
8,14,10,30
8,14,11,52
8,15,0,21
8,15,1,32
8,15,2,43
8,15,3,50
8,15,4,41
8,15,5,20
8,15,6,34
8,15,7,53
8,15,8,19
8,15,9,35
8,15,10,35
8,15,11,27
8,16,0,35
8,16,1,27
8,16,2,30
8,16,3,55
8,16,4,23
8,16,5,29
8,16,6,38
8,16,7,40
8,16,8,35
8,16,9,27
8,16,10,56
8,16,11,30
8,17,0,33
8,17,1,32
8,17,2,48
8,17,3,48
8,17,4,36
8,17,5,32
8,17,6,31
8,17,7,41
8,17,8,30
8,17,9,49
8,17,10,24
8,17,11,24
8,18,0,35
8,18,1,42
8,18,2,35
8,18,3,29
8,18,4,29
8,18,5,42
8,18,6,37
8,18,7,20
8,18,8,40
8,18,9,20
8,18,10,26
8,18,11,23
8,19,0,27
8,19,1,36
8,19,2,30
8,19,3,54
8,19,4,12
8,19,5,30
8,19,6,33
8,19,7,24
8,19,8,38
8,19,9,50
8,19,10,37
8,19,11,48
8,20,0,29
8,20,1,13
8,20,2,47
8,20,3,57
8,20,4,34
8,20,5,24
8,20,6,35
8,20,7,59
8,20,8,51
8,20,9,37
8,20,10,43
8,20,11,50
8,21,0,19
8,21,1,38
8,21,2,37
8,21,3,30
8,21,4,45
8,21,5,42
8,21,6,52
8,21,7,50
8,21,8,21
8,21,9,42
8,21,10,21
8,21,11,51
8,22,0,43
8,22,1,21
8,22,2,44
8,22,3,25
8,22,4,54
8,22,5,34
8,22,6,57
8,22,7,26
8,22,8,35
8,22,9,40
8,22,10,33
8,22,11,30
8,23,0,27
8,23,1,28
8,23,2,51
8,23,3,36
8,23,4,33
8,23,5,31
8,23,6,45
8,23,7,31
8,23,8,27
8,23,9,33
8,23,10,26
8,23,11,49
8,24,0,46
8,24,1,24
8,24,2,43
8,24,3,48
8,24,4,36
8,24,5,31
8,24,6,31
8,24,7,64
8,24,8,40
8,24,9,59
8,24,10,29
8,24,11,32
8,25,0,32
8,25,1,67
8,25,2,65
8,25,3,46
8,25,4,34
8,25,5,44
8,25,6,28
8,25,7,50
8,25,8,38
8,25,9,40
8,25,10,26
8,25,11,29
8,26,0,54
8,26,1,45
8,26,2,44
8,26,3,22
8,26,4,21
8,26,5,27
8,26,6,22
8,26,7,27
8,26,8,25
8,26,9,72
8,26,10,60
8,26,11,30
8,27,0,65
8,27,1,62
8,27,2,42
8,27,3,26
8,27,4,48
8,27,5,27
8,27,6,35
8,27,7,33
8,27,8,51
8,27,9,39
8,27,10,37
8,27,11,36
8,28,0,49
8,28,1,38
8,28,2,51
8,28,3,44
8,28,4,47
8,28,5,37
8,28,6,79
8,28,7,24
8,28,8,28
8,28,9,20
8,28,10,27
8,28,11,33
8,29,0,43
8,29,1,57
8,29,2,51
8,29,3,28
8,29,4,36
8,29,5,38
8,29,6,30
8,29,7,35
8,29,8,29
8,29,9,42
8,29,10,36
8,29,11,25
9,0,0,21
9,0,1,44
9,0,2,42
9,0,3,38
9,0,4,31
9,0,5,32
9,0,6,46
9,0,7,67
9,0,8,44
9,0,9,39
9,0,10,18
9,0,11,42
9,1,0,26
9,1,1,30
9,1,2,46
9,1,3,40
9,1,4,20
9,1,5,38
9,1,6,38
9,1,7,29
9,1,8,36
9,1,9,38
9,1,10,21
9,1,11,45
9,2,0,45
9,2,1,32
9,2,2,51
9,2,3,37
9,2,4,53
9,2,5,51
9,2,6,58
9,2,7,33
9,2,8,81
9,2,9,38
9,2,10,46
9,2,11,36
9,3,0,43
9,3,1,34
9,3,2,26
9,3,3,53
9,3,4,20
9,3,5,42
9,3,6,43
9,3,7,40
9,3,8,25
9,3,9,24
9,3,10,38
9,3,11,51
9,4,0,55
9,4,1,31
9,4,2,48
9,4,3,55
9,4,4,31
9,4,5,28
9,4,6,40
9,4,7,37
9,4,8,27
9,4,9,15
9,4,10,31
9,4,11,41
9,5,0,57
9,5,1,53
9,5,2,27
9,5,3,34
9,5,4,53
9,5,5,55
9,5,6,33
9,5,7,48
9,5,8,41
9,5,9,39
9,5,10,35
9,5,11,37
9,6,0,34
9,6,1,30
9,6,2,32
9,6,3,55
9,6,4,32
9,6,5,30
9,6,6,39
9,6,7,30
9,6,8,45
9,6,9,49
9,6,10,50
9,6,11,57
9,7,0,36
9,7,1,22
9,7,2,27
9,7,3,29
9,7,4,40
9,7,5,35
9,7,6,32
9,7,7,49
9,7,8,48
9,7,9,32
9,7,10,33
9,7,11,73
9,8,0,38
9,8,1,45
9,8,2,27
9,8,3,20
9,8,4,50
9,8,5,42
9,8,6,35
9,8,7,43
9,8,8,35
9,8,9,33
9,8,10,50
9,8,11,59
9,9,0,27
9,9,1,41
9,9,2,35
9,9,3,17
9,9,4,38
9,9,5,31
9,9,6,37
9,9,7,51
9,9,8,38
9,9,9,41
9,9,10,40
9,9,11,14
9,10,0,27
9,10,1,41
9,10,2,30
9,10,3,12
9,10,4,42
9,10,5,35
9,10,6,20
9,10,7,26
9,10,8,33
9,10,9,48
9,10,10,38
9,10,11,18
9,11,0,34
9,11,1,31
9,11,2,57
9,11,3,41
9,11,4,35
9,11,5,23
9,11,6,21
9,11,7,44
9,11,8,39
9,11,9,26
9,11,10,57
9,11,11,26
9,12,0,53
9,12,1,48
9,12,2,29
9,12,3,24
9,12,4,33
9,12,5,40
9,12,6,34
9,12,7,53
9,12,8,41
9,12,9,39
9,12,10,54
9,12,11,60
9,13,0,28
9,13,1,39
9,13,2,36
9,13,3,32
9,13,4,11
9,13,5,14
9,13,6,38
9,13,7,32
9,13,8,64
9,13,9,45
9,13,10,32
9,13,11,40
9,14,0,25
9,14,1,43
9,14,2,38
9,14,3,62
9,14,4,31
9,14,5,39
9,14,6,69
9,14,7,22
9,14,8,44
9,14,9,37
9,14,10,45
9,14,11,24
9,15,0,38
9,15,1,35
9,15,2,33
9,15,3,20
9,15,4,26
9,15,5,21
9,15,6,29
9,15,7,46
9,15,8,31
9,15,9,31
9,15,10,39
9,15,11,38
9,16,0,34
9,16,1,33
9,16,2,37
9,16,3,46
9,16,4,17
9,16,5,26
9,16,6,43
9,16,7,48
9,16,8,39
9,16,9,24
9,16,10,34
9,16,11,16
9,17,0,20
9,17,1,48
9,17,2,32
9,17,3,47
9,17,4,34
9,17,5,23
9,17,6,41
9,17,7,21
9,17,8,34
9,17,9,30
9,17,10,49
9,17,11,45
9,18,0,24
9,18,1,36
9,18,2,37
9,18,3,28
9,18,4,43
9,18,5,27
9,18,6,48
9,18,7,16
9,18,8,30
9,18,9,17
9,18,10,43
9,18,11,44
9,19,0,40
9,19,1,35
9,19,2,44
9,19,3,31
9,19,4,41
9,19,5,7
9,19,6,32
9,19,7,21
9,19,8,33
9,19,9,36
9,19,10,36
9,19,11,45
9,20,0,18
9,20,1,29
9,20,2,30
9,20,3,41
9,20,4,9
9,20,5,44
9,20,6,56
9,20,7,29
9,20,8,33
9,20,9,34
9,20,10,37
9,20,11,51
9,21,0,32
9,21,1,56
9,21,2,48
9,21,3,52
9,21,4,57
